Show/Hide,Cpd,File,ID Source,Name,Formula,Saturated,RT,m/z,Mass,Score,Score (Lib),Score (DB),Score (MFG),RT Diff (Tgt),"Diff (Tgt, ppm)","Diff (DB, ppm)","Diff (MFG, ppm)",Polarity,Ions,Height,Area,Vol,Hits (DB),Algorithm,Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt)
TRUE,4055,SLZ_200313_09.d,,,,,62.781,431.1909,432.1982,,,,,,,,,Negative,3,8119,,236785,,Find by Molecular Feature,,,,68.5,,,,,
TRUE,131,SLZ_200313_09.d,,,,,0.718,432.8929,433.9002,,,,,,,,,Negative,2,11320,,75585,,Find by Molecular Feature,,,,78.2,,,,,
TRUE,4198,SLZ_200313_09.d,,,,,63.418,434.8527,435.8599,,,,,,,,,Negative,3,2893,,103875,,Find by Molecular Feature,,,,35.2,,,,,
TRUE,3705,SLZ_200313_09.d,,,,,60.199,435.0814,436.0887,,,,,,,,,Negative,3,9830,,74032,,Find by Molecular Feature,,,,35,,,,,
TRUE,905,SLZ_200313_09.d,,,,,1.05,435.3769,436.3841,,,,,,,,,Negative,3,16671,,128854,,Find by Molecular Feature,,,,74.2,,,,,
TRUE,906,SLZ_200313_09.d,,,,,1.05,435.711,436.7183,,,,,,,,,Negative,2,8830,,75172,,Find by Molecular Feature,,,,81.6,,,,,
TRUE,206,SLZ_200313_09.d,,,,,0.803,436.834,437.8413,,,,,,,,,Negative,2,28095,,244622,,Find by Molecular Feature,,,,92.8,,,,,
TRUE,4047,SLZ_200313_09.d,,,,,62.764,437.2866,438.2939,,,,,,,,,Negative,3,6248,,172237,,Find by Molecular Feature,,,,39,,,,,
TRUE,4195,SLZ_200313_09.d,,,,,63.404,440.8585,441.8657,,,,,,,,,Negative,3,69005,,1355303,,Find by Molecular Feature,,,,99.5,,,,,
TRUE,195,SLZ_200313_09.d,,,,,0.796,440.8589,441.8662,,,,,,,,,Negative,4,63576,,547886,,Find by Molecular Feature,,,,93.8,,,,,
TRUE,969,SLZ_200313_09.d,,,,,1.165,440.8591,441.8664,,,,,,,,,Negative,2,26085,,671173,,Find by Molecular Feature,,,,93.3,,,,,
TRUE,663,SLZ_200313_09.d,,,,,1.001,442.3761,443.3834,,,,,,,,,Negative,3,8608,,94413,,Find by Molecular Feature,,,,59,,,,,
TRUE,32,SLZ_200313_09.d,,,,,0.621,442.7965,443.8038,,,,,,,,,Negative,4,5696,,42532,,Find by Molecular Feature,,,,35,,,,,
TRUE,120,SLZ_200313_09.d,,,,,0.708,444.8964,445.9037,,,,,,,,,Negative,7,10863,,184024,,Find by Molecular Feature,,,,73.3,,,,,
